0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:45:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:45:40 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:45:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:46:11 +0530] "GET /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:46:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:46:16 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7053
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:46:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:46:22 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7053
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:46:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:46:28 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7044
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:46:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:46:43 +0530] "GET /ORS_Project4/ctl/StaffCtl?id=6 HTTP/1.1" 200 6774
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:46:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:46:58 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7044
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:46:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:47:59 +0530] "GET /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:47:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:48:04 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7053
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:48:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:48:05 +0530] "GET /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:49:50 +0530] "GET /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:49:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:49:56 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7053
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:49:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:49:57 +0530] "GET /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:50:00 +0530] "GET /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:50:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:50:06 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7043
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:50:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:50:55 +0530] "GET /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:50:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:51:00 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7053
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:51:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:51:05 +0530] "GET /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:51:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:51:10 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 7047
